check_name,status,details
01_rooms_schema_contract,INFO,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""uuid_generate_v4()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""room_number"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""room_type"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""qr_code_url"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""status"", ""type"": ""text"", ""default"": ""'available'::text"", ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""YES""}, {""udt"": ""uuid"", ""name"": ""room_type_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""floor_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}]"
02_room_types_schema_contract,INFO,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""code"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""description"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""int4"", ""name"": ""base_occupancy"", ""type"": ""integer"", ""default"": ""1"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""max_adults"", ""type"": ""integer"", ""default"": ""2"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""max_children"", ""type"": ""integer"", ""default"": ""1"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""max_occupancy"", ""type"": ""integer"", ""default"": ""3"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""base_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""extra_adult_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""extra_child_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""bool"", ""name"": ""is_active"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""sort_order"", ""type"": ""integer"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""udt"": ""timestamptz"", ""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]"
03_rate_plans_schema_contract,INFO,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""room_type_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""code"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""description"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""meal_plan"", ""type"": ""text"", ""default"": ""'room_only'::text"", ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""currency_code"", ""type"": ""text"", ""default"": ""'INR'::text"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""base_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""extra_adult_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""numeric"", ""name"": ""extra_child_rate"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""minimum_stay"", ""type"": ""integer"", ""default"": ""1"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""maximum_stay"", ""type"": ""integer"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""cancellation_policy"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""bool"", ""name"": ""is_refundable"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""NO""}, {""udt"": ""bool"", ""name"": ""is_active"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""NO""}, {""udt"": ""int4"", ""name"": ""priority"", ""type"": ""integer"", ""default"": ""100"", ""nullable"": ""NO""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""udt"": ""timestamptz"", ""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]"
04_menu_items_schema_contract,INFO,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""category_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""item_name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""description"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""numeric"", ""name"": ""price"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""image_url"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""bool"", ""name"": ""is_available"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""category"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}]"
05_service_requests_schema_contract,INFO,"[{""udt"": ""uuid"", ""name"": ""id"", ""type"": ""uuid"", ""default"": ""uuid_generate_v4()"", ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""hotel_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""uuid"", ""name"": ""room_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""uuid"", ""name"": ""guest_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""request_type"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""udt"": ""text"", ""name"": ""request_details"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""status"", ""type"": ""text"", ""default"": ""'pending'::text"", ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""YES""}, {""udt"": ""uuid"", ""name"": ""assigned_to"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""text"", ""name"": ""priority"", ""type"": ""text"", ""default"": ""'normal'::text"", ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""accepted_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""completed_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""started_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""uuid"", ""name"": ""assigned_staff"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""int4"", ""name"": ""estimated_minutes"", ""type"": ""integer"", ""default"": null, ""nullable"": ""YES""}, {""udt"": ""timestamptz"", ""name"": ""estimated_arrival_time"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}]"
06_room_required_insert_columns,INFO,"hotel_id, room_number, room_type_id"
07_room_type_required_insert_columns,INFO,"hotel_id, name, code"
08_rate_plan_required_insert_columns,INFO,"hotel_id, room_type_id, name, code"
09_menu_item_required_insert_columns,INFO,"hotel_id, item_name"
10_room_constraints,INFO,"[{""name"": ""rooms_hotel_floor_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id, floor_id) REFERENCES floors(hotel_id, id) ON DELETE RESTRICT""}, {""name"": ""rooms_hotel_id_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id) REFERENCES hotels(id) ON DELETE CASCADE""}, {""name"": ""rooms_hotel_room_type_fkey"", ""type"": ""f"", ""validated"": true, ""definition"": ""FOREIGN KEY (hotel_id, room_type_id) REFERENCES room_types(hotel_id, id) ON DELETE RESTRICT""}, {""name"": ""rooms_pkey"", ""type"": ""p"", ""validated"": true, ""definition"": ""PRIMARY KEY (id)""}, {""name"": ""rooms_status_check"", ""type"": ""c"", ""validated"": true, ""definition"": ""CHECK (status = ANY (ARRAY['available'::text, 'occupied'::text, 'cleaning'::text, 'maintenance'::text, 'out_of_order'::text]))""}]"
