"seq","check_name","passed","details"
"1","v11a_browser_hotel_exists","true","20E Test Hotel / 20e-test-hotel"
"2","v11a_browser_direct_booking_disabled_final","true","enabled=false"
"3","v11a_browser_corporate_account_ready","true","V11A Test Corporate 290826 / V11A290826 / V11A-290826 / active"
"4","v11a_browser_negotiated_rate_ready","true","rate=2100.00 active=t validity=2026-08-29..open"
"5","v11a_browser_direct_booking_exactly_once","true","matching direct reservations=1"
"6","v11a_browser_direct_booking_lifecycle_closed","true","reservation=RES-2026-000002 source=website status=checked_out total=2100.00"
"7","v11a_browser_corporate_booking_linked","true","booking_code=V11A-290826 corporate=b8ef31ac-f074-434b-a891-5c2987bd702b rate=cdbba757-2ca9-4fdb-b375-1fb567235bf8"
"8","v11a_browser_public_booking_idempotency_evidence","true","public booking request rows=1"
"9","v11a_browser_direct_folio_reconciled","true","folio=FOL-20260829-E4EE339B status=settled charges=2100.00 collections=2100.00 balance=0.00"
"10","v11a_browser_direct_invoice_reconciled","true","invoice=20ET-INV/2026-27/000006 invoice_status=paid payment_status=paid total=2100.00 pending=0"
"11","v11a_browser_split_bill_two_payers","true","canary=V11A Split Bill 300826 share_count=2 allocated=2500.00 paid=2500.00 settled=2"
"12","v11a_browser_split_bill_fully_settled","true","canary=V11A Split Bill 300826 folio=FOL-20260830-28269C94 status=settled charges=2500.00 collections=2500.00 balance=0.00 allocated=2500.00 paid=2500.00 settled=2/2"
"13","v11a_browser_split_stay_verified","true","status=verified verified_at=2026-08-29 19:17:36.132395+00 move=102->101"
"14","v11a_browser_split_stay_lifecycle_closed","true","status=completed checked_out_at=2026-08-29 19:19:04.516123+00"
"15","v11a_browser_direct_checkout_housekeeping_closed","true","status=ready room=101 source=checkout"
"16","v11a_browser_split_stay_housekeeping_closed","true","status=ready room=101 source=checkout"
"17","v11a_browser_final_test_rooms_available","true","rooms 101/102 found=2 available=2"
"18","v11a_browser_stayqr_accounting_export_generated","true","stayqr:stayqr-stayqr-2026-08-30.csv, tally:stayqr-tally-2026-08-30.csv"
"19","v11a_browser_external_accounting_connector_export_generated","true","stayqr:stayqr-stayqr-2026-08-30.csv, tally:stayqr-tally-2026-08-30.csv"
