"seq","check_name","passed","details"
"1","laundry_orders_table","true","Dedicated laundry workflow table"
"2","lost_found_items_table","true","Lost and found custody table"
"3","inventory_items_table","true","Consumable inventory master"
"4","inventory_movements_table","true","Atomic stock movement ledger"
"5","kitchen_printer_profiles_table","true","KOT printer profiles"
"6","kitchen_print_events_table","true","KOT print audit events"
"7","scheduled_report_jobs_table","true","Scheduled report jobs"
"8","scheduled_report_runs_table","true","Scheduled report snapshots"
"9","laundry_rls","true","Laundry RLS enabled"
"10","lost_found_rls","true","Lost-found RLS enabled"
"11","inventory_items_rls","true","Inventory item RLS enabled"
"12","inventory_movements_rls","true","Inventory movement RLS enabled"
"13","printer_profiles_rls","true","Printer profile RLS enabled"
"14","print_events_rls","true","Print event RLS enabled"
"15","report_jobs_rls","true","Scheduled job RLS enabled"
"16","report_runs_rls","true","Scheduled run RLS enabled"
"17","workspace_rpc","true","Operations workspace RPC"
"18","laundry_create_rpc","true","Laundry create RPC"
"19","laundry_status_rpc","true","Laundry lifecycle RPC"
"20","lost_found_create_rpc","true","Lost-found create RPC"
"21","lost_found_transition_rpc","true","Lost-found transition RPC"
"22","inventory_upsert_rpc","true","Inventory master RPC"
"23","inventory_movement_rpc","true","Atomic inventory movement RPC"
"24","printer_profile_rpc","true","Printer profile RPC"
"25","kot_prepare_rpc","true","KOT wrapper/audit RPC"
"26","report_job_rpc","true","Scheduled report job RPC"
"27","report_runner_rpc","true","Idempotent due-report runner"
"28","inventory_request_key_unique","true","Inventory retries cannot create duplicate movement keys"
"29","scheduled_run_unique","true","A scheduled timestamp is generated at most once per job"
"30","single_default_printer_index","true","At most one active default KOT profile per hotel"
"31","laundry_number_unique","true","Laundry order number is tenant-unique"
"32","lost_found_number_unique","true","Lost-found item number is tenant-unique"
"33","anon_no_laundry_table","true","Anonymous users cannot read laundry data"
"34","anon_no_lost_found_table","true","Anonymous users cannot read lost-found data"
"35","anon_no_inventory_table","true","Anonymous users cannot read inventory"
"36","anon_no_report_jobs_table","true","Anonymous users cannot read schedules"
"37","authenticated_no_inventory_direct_insert","true","Stock writes are RPC-only"
"38","authenticated_no_laundry_direct_insert","true","Laundry writes are RPC-only"
"39","authenticated_no_report_direct_insert","true","Report run writes are RPC-only"
"40","existing_kot_authority_preserved","true","Day 15 KOT authority remains present"
"41","existing_report_authority_preserved","true","Day 16 report authority remains present"
"42","future_hotel_seed_trigger","true","Future hotels receive a default KOT profile"
"43","existing_hotels_have_printer_profile","true","Every existing hotel has at least one active KOT profile"
"44","no_anon_rpc_execution","true","No anonymous execution on operations RPC surface"
