"seq","check_name","passed","details"
"1","v11b_hotel_exists","true","20E Test Hotel / 20e-test-hotel"
"2","v11b_laundry_order_exists","true","LDR-20260830-0002 / delivered"
"3","v11b_laundry_express_three_pieces","true","priority=express pieces=3"
"4","v11b_laundry_delivered","true","status=delivered ready=2026-08-30 17:19:06.668444+00 delivered=2026-08-30 17:19:10.29895+00"
"5","v11b_lost_found_exists","true","LF-20260830-0002 / returned"
"6","v11b_lost_found_returned","true","status=returned claimant=V11B Test Claimant closed=2026-08-30 17:20:20.372483+00"
"7","v11b_inventory_item_exists","true","V11B-WATER-300826 / V11B Water Bottle"
"8","v11b_inventory_final_quantity","true","qty=11.000 reorder=5.000"
"9","v11b_inventory_receive_evidence","true","receive +5 count=1"
"10","v11b_inventory_consume_evidence","true","consume -4 count=1"
"11","v11b_inventory_never_negative","true","minimum quantity_after=11.000"
"12","v11b_kitchen_default_profile","true","active=t default=t width=80 copies=2"
"13","v11b_kot_print_event_exists","true","ticket=KOT-20260830-63BED2C9 copies=2"
"14","v11b_kot_existing_ticket_linked","true","kitchen_ticket_id=300be0bd-8319-4b73-8cf8-f2aed842f6b0 copies=2"
"15","v11b_schedule_exists","true","occupancy_daily / daily / t"
"16","v11b_schedule_contract","true","key=occupancy_daily freq=daily lookback=1 enabled=t"
"17","v11b_scheduled_report_generated","true","generated=2 failed=0"
"18","v11b_scheduled_report_no_duplicate_slot","true","runs=2 unique scheduled slots=2"
"19","v11b_scheduled_report_payload_present","true","max row_count=1"
"20","v11b_no_negative_inventory_anywhere","true","No negative stock exists for controlled hotel"
