"seq","check_name","passed","details"
"1","v11c_hotel_exists","true","20E Test Hotel"
"2","v11c_settings_saved","true","channel settings row"
"3","v11c_channel_final_off","true","enabled=false"
"4","v11c_transactional_on","true","transactional enabled"
"5","v11c_marketing_off","true","marketing disabled"
"6","v11c_failure_threshold_3","true","threshold 3"
"7","v11c_cooldown_15","true","cooldown 15"
"8","v11c_health_row","true","health row"
"9","v11c_circuit_not_open","true","closed"
"10","v11c_multi_property_authorized","true","2"
"11","v11c_campaign_created","true","controlled manual campaign"
"12","v11c_campaign_manual_mode","true","manual"
"13","v11c_campaign_transactional","true","transactional"
"14","v11c_campaign_single_recipient","true","one recipient"
"15","v11c_campaign_recipient_eligible","true","eligible"
"16","v11c_transactional_consent_active","true","active transactional consent"
"17","v11c_marketing_optout_recorded","true","revoked marketing consent"
"18","v11c_optout_suppression_active","true","active suppression"
"19","v11c_support_single_index","true","support unique index"
"20","v11c_no_duplicate_support","true","no duplicates"
"21","v11c_no_expired_active_support","true","no stale active sessions"
"22","v11c_support_max_120","true","server max 120"
"23","v11c_support_touch_no_extension","true","touch does not extend expiry"
"24","v11c_provider_secrets_not_database","true","no provider secret columns"
