"seq","check_name","passed","details"
"1","01_settings_table","true","whatsapp_channel_settings"
"2","02_health_table","true","whatsapp_delivery_health"
"3","03_settings_rls","true","RLS enabled"
"4","04_health_rls","true","RLS enabled"
"5","05_settings_select_policy","true","policy"
"6","06_health_select_policy","true","policy"
"7","07_settings_rpc","true","RPC"
"8","08_workspace_rpc","true","RPC"
"9","09_group_rpc","true","RPC"
"10","10_support_touch_rpc","true","RPC"
"11","11_support_start_exists","true","RPC"
"12","12_support_single_index","true","one active session/admin"
"13","13_support_last_seen","true","column"
"14","14_support_revoked_reason","true","column"
"15","15_support_max_120","true","max 120"
"16","16_support_reason_min","true","reason minimum"
"17","17_support_global_active_guard","true","single active guard"
"18","18_group_staff_scope","true","staff access"
"19","19_group_membership_scope","true","hotel_users access"
"20","20_group_no_platform_override","true","no all-hotel admin shortcut"
"21","21_workspace_access_guard","true","tenant access guard"
"22","22_settings_permission_guard","true","permission guard"
"23","23_settings_provider_gate","true","provider gate"
"24","24_settings_template_gate","true","template gate"
"25","25_marketing_requires_channel","true","constraint"
"26","26_failure_threshold_constraint","true","constraint"
"27","27_cooldown_constraint","true","constraint"
"28","28_circuit_state_constraint","true","constraint"
"29","29_existing_guest_consents","true","reused"
"30","30_existing_suppressions","true","reused"
"31","31_existing_campaigns","true","reused"
"32","32_existing_recipients","true","reused"
"33","33_existing_events","true","reused"
"34","34_existing_provider_profiles","true","reused"
"35","35_existing_templates","true","reused"
"36","36_existing_consent_rpc","true","reused"
"37","37_existing_campaign_rpc","true","reused"
"38","38_existing_manual_contact_rpc","true","reused"
"39","39_support_events","true","reused"
"40","40_support_session_rls","true","existing RLS"
"41","41_no_duplicate_active_support","true","single session invariant"
"42","42_no_expired_active_support","true","expired sessions closed"
"43","43_settings_auth_select","true","authenticated select"
"44","44_health_auth_select","true","authenticated select"
"45","45_settings_no_auth_insert","true","RPC writes only"
"46","46_health_no_auth_write","true","service role health writes"
"47","47_settings_service_write","true","service write"
"48","48_health_service_write","true","service write"
